system:index,CO2Flux,NDVI,NIR,PRI,R531,R570,RED,data_imagem,estacao_meteorologica,lat,lon,sPRI,scene_id,sensor,.geo
10,-6.8096123,0.6036907,45.625,0.02278481,20.2,19.3,11.275,2012-07-09,INMET Rio Branco A104,-9.86743116001687,-68.35020932952247,0.5113924,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.35020932952247,-9.86743116001687]}"
11,-12.43785,0.76529545,105.675,0.028968714,33.3,31.425,14.05,2012-07-09,INMET Rio Branco A104,-9.92268121052272,-68.29155952765971,0.51448435,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29155952765971,-9.92268121052272]}"
12,-12.565366,0.76345384,109.775,0.03649635,33.725,31.35,14.725,2012-07-09,INMET Rio Branco A104,-9.922958965308016,-68.2945680436139,0.5182482,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.2945680436139,-9.922958965308016]}"
13,-12.855957,0.7732683,113.6,0.0346931,33.925,31.65,14.525,2012-07-09,INMET Rio Branco A104,-9.92295838971815,-68.29429448905366,0.51734656,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29429448905366,-9.92295838971815]}"
14,-12.852503,0.7721321,113.35,0.036080517,34.1,31.725,14.575,2012-07-09,INMET Rio Branco A104,-9.92295781390517,-68.29402093451007,0.51804024,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29402093451007,-9.92295781390517]}"
15,-12.652827,0.76755255,111.4,0.03440367,33.825,31.575,14.65,2012-07-09,INMET Rio Branco A104,-9.922957237869072,-68.29374737998316,0.51720184,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29374737998316,-9.922957237869072]}"
16,-10.963709,0.72042066,98.15,0.03125,33.825,31.775,15.95,2012-07-09,INMET Rio Branco A104,-9.922954354341835,-68.29237960759892,0.515625,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29237960759892,-9.922954354341835]}"
17,-12.45002,0.75956964,106.3,0.037209302,33.45,31.05,14.525,2012-07-09,INMET Rio Branco A104,-9.922953776967038,-68.29210605317218,0.51860464,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29210605317218,-9.922953776967038]}"
18,-12.730299,0.772187,111.825,0.0312262,33.85,31.8,14.375,2012-07-09,INMET Rio Branco A104,-9.922953199369127,-68.29183249876216,0.5156131,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29183249876216,-9.922953199369127]}"
19,-12.570322,0.7693523,112.0,0.028744327,34.0,32.1,14.6,2012-07-09,INMET Rio Branco A104,-9.922952621548099,-68.29155894436887,0.51437217,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29155894436887,-9.922952621548099]}"
20,-12.384841,0.75337017,99.175,0.04313099,32.65,29.95,13.95,2012-07-09,INMET Rio Branco A104,-9.922952043503955,-68.29128538999232,0.5215655,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29128538999232,-9.922952043503955]}"
21,-12.297508,0.765625,110.175,0.022988506,33.375,31.875,14.625,2012-07-09,INMET Rio Branco A104,-9.923230951888682,-68.29484101758553,0.5114943,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29484101758553,-9.923230951888682]}"
22,-12.735112,0.7743711,112.85,0.028505392,33.375,31.525,14.35,2012-07-09,INMET Rio Branco A104,-9.92323037650589,-68.2945674627834,0.5142527,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.2945674627834,-9.92323037650589]}"
23,-13.173654,0.7829573,119.525,0.034146342,34.45,32.175,14.55,2012-07-09,INMET Rio Branco A104,-9.923229800899973,-68.29429390799797,0.51707315,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29429390799797,-9.923229800899973]}"
24,-13.258663,0.7813144,118.925,0.039607696,34.45,31.825,14.6,2012-07-09,INMET Rio Branco A104,-9.923229225070935,-68.29402035322919,0.5198038,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29402035322919,-9.923229225070935]}"
25,-13.065368,0.7770542,115.975,0.037792895,34.325,31.825,14.55,2012-07-09,INMET Rio Branco A104,-9.923228649018773,-68.29374679847709,0.51889646,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29374679847709,-9.923228649018773]}"
26,-12.550713,0.76949155,110.925,0.027788352,33.75,31.925,14.45,2012-07-09,INMET Rio Branco A104,-9.92322807274349,-68.29347324374166,0.5138942,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29347324374166,-9.92322807274349]}"
27,-12.842778,0.76785356,109.85,0.04147105,33.275,30.625,14.425,2012-07-09,INMET Rio Branco A104,-9.923227496245085,-68.29319968902293,0.5207355,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319968902293,-9.923227496245085]}"
28,-11.10238,0.72715515,100.175,0.027459955,33.675,31.875,15.825,2012-07-09,INMET Rio Branco A104,-9.92322576541113,-68.29237902496689,0.51373,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29237902496689,-9.92322576541113]}"
29,-12.908461,0.76800483,109.55,0.04384944,33.625,30.8,14.375,2012-07-09,INMET Rio Branco A104,-9.923225188020234,-68.29210547031498,0.52192473,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29210547031498,-9.923225188020234]}"
30,-12.950687,0.7734666,113.125,0.038127594,34.375,31.85,14.45,2012-07-09,INMET Rio Branco A104,-9.923224610406216,-68.29183191567977,0.5190638,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29183191567977,-9.923224610406216]}"
31,-12.871248,0.77329195,114.2,0.035258815,34.5,32.15,14.6,2012-07-09,INMET Rio Branco A104,-9.923224032569076,-68.29155836106128,0.5176294,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29155836106128,-9.923224032569076]}"
32,-12.711084,0.7633873,106.2,0.04235294,33.225,30.525,14.25,2012-07-09,INMET Rio Branco A104,-9.923223454508813,-68.29128480645953,0.52117646,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29128480645953,-9.923223454508813]}"
33,-13.070969,0.7789716,115.9,0.035455585,33.95,31.625,14.4,2012-07-09,INMET Rio Branco A104,-9.923501212077365,-68.29429332692558,0.5177278,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29429332692558,-9.923501212077365]}"
34,-13.137084,0.7780806,114.175,0.039208222,34.125,31.55,14.25,2012-07-09,INMET Rio Branco A104,-9.92350063623227,-68.29401977193162,0.5196041,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29401977193162,-9.92350063623227]}"
35,-13.080125,0.77677345,113.025,0.03874185,33.85,31.325,14.2,2012-07-09,INMET Rio Branco A104,-9.923500060164045,-68.2937462169543,0.5193709,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.2937462169543,-9.923500060164045]}"
36,-12.975105,0.77490556,111.575,0.0371517,33.5,31.1,14.15,2012-07-09,INMET Rio Branco A104,-9.923499483872694,-68.29347266199368,0.51857585,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29347266199368,-9.923499483872694]}"
37,-12.817913,0.76857144,108.325,0.039520957,32.55,30.075,14.175,2012-07-09,INMET Rio Branco A104,-9.923498907358212,-68.29319910704976,0.5197605,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319910704976,-9.923498907358212]}"
38,-12.940023,0.77706367,110.6,0.03290747,33.35,31.225,13.875,2012-07-09,INMET Rio Branco A104,-9.923496021438872,-68.2918313325806,0.51645374,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.2918313325806,-9.923496021438872]}"
39,-13.043952,0.7831603,115.95,0.02887538,33.85,31.95,14.1,2012-07-09,INMET Rio Branco A104,-9.92349544358562,-68.29155777773693,0.5144377,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29155777773693,-9.92349544358562]}"
40,-12.702945,0.764508,104.9,0.04050334,33.075,30.5,14.0,2012-07-09,INMET Rio Branco A104,-9.92349486550924,-68.29128422290998,0.5202517,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29128422290998,-9.92349486550924]}"
41,-12.934244,0.77266306,109.75,0.03856434,34.0,31.475,14.075,2012-07-09,INMET Rio Branco A104,-9.9237720473892,-68.29401919061733,0.51928216,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29401919061733,-9.9237720473892]}"
42,-12.724211,0.76389754,105.9,0.0421758,33.05,30.375,14.175,2012-07-09,INMET Rio Branco A104,-9.923770318466934,-68.29319852505986,0.5210879,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319852505986,-9.923770318466934]}"
43,-12.133024,0.75511944,102.85,0.03064067,32.375,30.45,14.35,2012-07-09,INMET Rio Branco A104,-9.923769741713242,-68.29292496990743,0.51532036,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29292496990743,-9.923769741713242]}"
44,-12.697576,0.76367265,110.45,0.041429114,34.25,31.525,14.8,2012-07-09,INMET Rio Branco A104,-9.924042306117856,-68.29347149844762,0.5207146,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29347149844762,-9.924042306117856]}"
45,-12.480594,0.7613568,109.05,0.03598775,33.825,31.475,14.775,2012-07-09,INMET Rio Branco A104,-9.924041729571224,-68.29319794305326,0.51799387,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319794305326,-9.924041729571224]}"
46,-12.197054,0.7566381,105.025,0.031128405,33.125,31.125,14.55,2012-07-09,INMET Rio Branco A104,-9.92404115280145,-68.29292438767561,0.5155642,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29292438767561,-9.92404115280145]}"
47,-11.49572,0.73252803,100.4,0.036144577,33.325,31.0,15.5,2012-07-09,INMET Rio Branco A104,-9.924040575808537,-68.29265083231466,0.5180723,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29265083231466,-9.924040575808537]}"
48,-12.584584,0.7666798,111.875,0.03289225,34.15,31.975,14.775,2012-07-09,INMET Rio Branco A104,-9.924313140671114,-68.29319736102994,0.5164461,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319736102994,-9.924313140671114]}"
49,-12.565233,0.7648973,108.475,0.034535103,34.075,31.8,14.45,2012-07-09,INMET Rio Branco A104,-9.924312563885259,-68.29292380542707,0.5172675,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29292380542707,-9.924312563885259]}"
50,-12.877058,0.7771643,112.65,0.030326296,33.55,31.575,14.125,2012-07-09,INMET Rio Branco A104,-9.924584551766564,-68.29319677898991,0.5151631,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319677898991,-9.924584551766564]}"
51,-12.376893,0.75949365,107.725,0.03440454,34.2,31.925,14.725,2012-07-09,INMET Rio Branco A104,-9.924583974964628,-68.29292322316181,0.51720226,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29292322316181,-9.924583974964628]}"
52,-12.970088,0.78011876,116.175,0.030026605,33.875,31.9,14.35,2012-07-09,INMET Rio Branco A104,-9.924855962857617,-68.29319619693315,0.5150133,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319619693315,-9.924855962857617]}"
