system:index,CO2Flux,NDVI,NIR,PRI,R531,R570,RED,data_imagem,estacao_meteorologica,lat,lon,sPRI,scene_id,sensor,.geo,NDVI_py,PRI_py,sPRI_py,CO2Flux_py
26,-12.550713,0.76949155,110.925,0.027788352,33.75,31.925,14.45,2012-07-09,INMET Rio Branco A104,-9.92322807274349,-68.29347324374166,0.5138942,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29347324374166,-9.92322807274349]}",0.7694915254237288,0.027788351732013696,0.5138941758660068,-12.550711580522988
27,-12.842778,0.76785356,109.85,0.04147105,33.275,30.625,14.425,2012-07-09,INMET Rio Branco A104,-9.923227496245085,-68.29319968902293,0.5207355,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319968902293,-9.923227496245085]}",0.767853550593442,0.041471048513302015,0.520735524256651,-12.842777665152719
28,-11.10238,0.72715515,100.175,0.027459955,33.675,31.875,15.825,2012-07-09,INMET Rio Branco A104,-9.92322576541113,-68.29237902496689,0.51373,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29237902496689,-9.92322576541113]}",0.727155172413793,0.027459954233409568,0.5137299771167048,-11.102380277459945
29,-12.908461,0.76800483,109.55,0.04384944,33.625,30.8,14.375,2012-07-09,INMET Rio Branco A104,-9.923225188020234,-68.29210547031498,0.52192473,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29210547031498,-9.923225188020234]}",0.7680048416380876,0.04384943733022894,0.5219247186651145,-12.90846094691412
30,-12.950687,0.7734666,113.125,0.038127594,34.375,31.85,14.45,2012-07-09,INMET Rio Branco A104,-9.923224610406216,-68.29183191567977,0.5190638,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29183191567977,-9.923224610406216]}",0.773466588281403,0.03812759531898828,0.5190637976594942,-12.950687359089057
31,-12.871248,0.77329195,114.2,0.035258815,34.5,32.15,14.6,2012-07-09,INMET Rio Branco A104,-9.923224032569076,-68.29155836106128,0.5176294,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29155836106128,-9.923224032569076]}",0.7732919254658385,0.035258814703675936,0.5176294073518379,-12.871247990569065
32,-12.711084,0.7633873,106.2,0.04235294,33.225,30.525,14.25,2012-07-09,INMET Rio Branco A104,-9.923223454508811,-68.29128480645953,0.52117646,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29128480645953,-9.923223454508813]}",0.763387297633873,0.042352941176470635,0.5211764705882354,-12.711083749175886
33,-13.070969,0.7789716,115.9,0.035455585,33.95,31.625,14.4,2012-07-09,INMET Rio Branco A104,-9.923501212077364,-68.29429332692558,0.5177278,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29429332692558,-9.923501212077365]}",0.7789716039907905,0.0354555852077774,0.5177277926038887,-13.070968552877618
34,-13.137084,0.7780806,114.175,0.039208222,34.125,31.55,14.25,2012-07-09,INMET Rio Branco A104,-9.92350063623227,-68.29401977193162,0.5196041,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29401977193162,-9.92350063623227]}",0.7780805917850885,0.039208222306813846,0.5196041111534069,-13.137084535793852
35,-13.080125,0.77677345,113.025,0.03874185,33.85,31.325,14.2,2012-07-09,INMET Rio Branco A104,-9.923500060164043,-68.2937462169543,0.5193709,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.2937462169543,-9.923500060164045]}",0.7767734328944783,0.038741848868431183,0.5193709244342156,-13.080124112545823
36,-12.975105,0.77490556,111.575,0.0371517,33.5,31.1,14.15,2012-07-09,INMET Rio Branco A104,-9.923499483872694,-68.29347266199368,0.51857585,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29347266199368,-9.923499483872694]}",0.7749055478226287,0.03715170278637769,0.5185758513931888,-12.975104469925816
37,-12.817913,0.76857144,108.325,0.039520957,32.55,30.075,14.175,2012-07-09,INMET Rio Branco A104,-9.923498907358212,-68.29319910704976,0.5197605,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319910704976,-9.923498907358212]}",0.7685714285714286,0.039520958083832304,0.5197604790419161,-12.81791247904191
38,-12.940023,0.77706367,110.6,0.03290747,33.35,31.225,13.875,2012-07-09,INMET Rio Branco A104,-9.923496021438872,-68.2918313325806,0.51645374,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.2918313325806,-9.923496021438872]}",0.777063667403093,0.03290747193186217,0.5164537359659311,-12.940023360366732
39,-13.043952,0.7831603,115.95,0.02887538,33.85,31.95,14.1,2012-07-09,INMET Rio Branco A104,-9.92349544358562,-68.29155777773693,0.5144377,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29155777773693,-9.92349544358562]}",0.7831603229527105,0.02887537993920976,0.5144376899696049,-13.043952017227417
40,-12.702945,0.764508,104.9,0.04050334,33.075,30.5,14.0,2012-07-09,INMET Rio Branco A104,-9.92349486550924,-68.29128422290998,0.5202517,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29128422290998,-9.92349486550924]}",0.7645079899074853,0.04050334250884786,0.520251671254424,-12.702944390627545
41,-12.934244,0.77266306,109.75,0.03856434,34.0,31.475,14.075,2012-07-09,INMET Rio Branco A104,-9.9237720473892,-68.29401919061733,0.51928216,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29401919061733,-9.9237720473892]}",0.7726630325055521,0.03856433753340968,0.5192821687667049,-12.934243564188359
42,-12.724211,0.76389754,105.9,0.0421758,33.05,30.375,14.175,2012-07-09,INMET Rio Branco A104,-9.923770318466934,-68.29319852505986,0.5210879,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319852505986,-9.923770318466934]}",0.763897564022486,0.0421757981868348,0.5210878990934174,-12.724211225886853
43,-12.133024,0.75511944,102.85,0.03064067,32.375,30.45,14.35,2012-07-09,INMET Rio Branco A104,-9.923769741713242,-68.29292496990743,0.51532036,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29292496990743,-9.923769741713242]}",0.7551194539249148,0.03064066852367689,0.5153203342618384,-12.133024601424127
44,-12.697576,0.76367265,110.45,0.041429114,34.25,31.525,14.8,2012-07-09,INMET Rio Branco A104,-9.924042306117856,-68.29347149844762,0.5207146,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29347149844762,-9.924042306117856]}",0.7636726546906188,0.04142911440516916,0.5207145572025845,-12.69757558543119
45,-12.480594,0.7613568,109.05,0.03598775,33.825,31.475,14.775,2012-07-09,INMET Rio Branco A104,-9.924041729571224,-68.29319794305326,0.51799387,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319794305326,-9.924041729571224]}",0.7613567534827377,0.03598774885145484,0.5179938744257274,-12.480593154596539
46,-12.197054,0.7566381,105.025,0.031128405,33.125,31.125,14.55,2012-07-09,INMET Rio Branco A104,-9.92404115280145,-68.29292438767561,0.5155642,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29292438767561,-9.92404115280145]}",0.7566380932469162,0.0311284046692607,0.5155642023346303,-12.197053761660742
47,-11.49572,0.73252803,100.4,0.036144577,33.325,31.0,15.5,2012-07-09,INMET Rio Branco A104,-9.924040575808537,-68.29265083231466,0.5180723,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29265083231466,-9.924040575808537]}",0.7325280414150129,0.03614457831325305,0.5180722891566265,-11.495720646173995
48,-12.584584,0.7666798,111.875,0.03289225,34.15,31.975,14.775,2012-07-09,INMET Rio Branco A104,-9.924313140671114,-68.29319736102994,0.5164461,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319736102994,-9.924313140671114]}",0.7666798262929332,0.03289224952741016,0.5164461247637051,-12.584583871571992
49,-12.565233,0.7648973,108.475,0.034535103,34.075,31.8,14.45,2012-07-09,INMET Rio Branco A104,-9.92431256388526,-68.29292380542707,0.5172675,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29292380542707,-9.924312563885259]}",0.7648972950986374,0.034535104364326406,0.5172675521821632,-12.565233305586203
50,-12.877058,0.7771643,112.65,0.030326296,33.55,31.575,14.125,2012-07-09,INMET Rio Branco A104,-9.924584551766564,-68.29319677898991,0.5151631,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319677898991,-9.924584551766564]}",0.7771642674028791,0.030326295585412635,0.5151631477927063,-12.877057605722348
51,-12.376893,0.75949365,107.725,0.03440454,34.2,31.925,14.725,2012-07-09,INMET Rio Branco A104,-9.924583974964628,-68.29292322316181,0.51720226,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29292322316181,-9.924583974964628]}",0.759493670886076,0.034404536862003815,0.5172022684310019,-12.37689411595798
52,-12.970088,0.78011876,116.175,0.030026605,33.875,31.9,14.35,2012-07-09,INMET Rio Branco A104,-9.924855962857617,-68.29319619693315,0.5150133,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29319619693315,-9.924855962857617]}",0.7801187511970886,0.030026605853287744,0.5150133029266438,-12.970087999804308
