TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010123,-4.806,0.0,179.311,117.375,0.0,233.603,0.0,0.155,0.0,98.504,0.0,0.0,0.0,3.353,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.1744,0.0,94.9448,-9999,-9999,-9999,53.264,0.0,65.5287,-9999,-9999,-9999,1.56915,0.0,-9999,1.54493,1.56915,1.58852,0.0,0.0,0.0,0.352724,0.326754,0.330621,0.381292,-1.23579,-1.2692,-1.23579,-1.21431,0.889107,0.853234,0.889107,0.919382,1.97319,1.931,1.97319,2.2707,-9999,-9999
20010124,-9.483,0.0,181.145,129.043,0.0,209.984,0.0,0.023,0.0,98.961,0.0,0.0,0.0,3.996,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.1269,0.0,88.2167,-9999,-9999,-9999,54.0872,0.0,67.0828,-9999,-9999,-9999,2.06919,0.0,-9999,2.01222,2.06137,2.06919,0.0,0.0,0.0,0.168339,0.152545,0.154875,0.186109,-1.89303,-1.9176,-1.89303,-1.85734,0.51363,0.487236,0.51363,0.562666,2.05551,2.01155,2.05551,2.3929,-9999,-9999
20010125,-8.453,0.0,183.026,119.92,0.0,226.674,0.0,0.464,0.0,98.321,0.0,2.35,0.0,4.987,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.2498,0.0,85.5021,-9999,-9999,-9999,66.4231,0.0,83.2136,-9999,-9999,-9999,1.43386,0.0,-9999,1.37361,1.43386,1.44698,0.0,0.0,0.0,0.256856,0.237755,0.240594,0.277974,-1.19491,-1.1961,-1.169,-1.14407,0.661757,0.633658,0.661757,0.69324,2.00049,1.95771,2.00049,2.30588,-9999,-9999
20010126,-4.823,0.0,184.956,103.474,0.0,264.267,0.0,0.119,0.0,97.579,0.0,2.979,0.0,8.061,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.1744,0.0,97.9242,-9999,-9999,-9999,53.264,0.0,67.585,-9999,-9999,-9999,1.56915,0.0,-9999,1.54493,1.56915,1.58852,0.0,0.0,0.0,0.3676,0.341639,0.345508,0.396107,-1.22092,-1.25432,-1.22092,-1.19942,0.905159,0.869659,0.905159,0.930973,1.86716,1.82725,1.86716,2.11812,-9999,-9999
20010127,-9.098,0.0,186.932,133.498,0.0,217.568,0.0,0.221,0.0,98.684,0.0,0.0,0.0,3.24,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.1269,0.0,90.5792,-9999,-9999,-9999,54.0872,0.0,68.8794,-9999,-9999,-9999,2.06919,0.0,-9999,2.01222,2.06137,2.06919,0.0,0.0,0.0,0.202423,0.18531,0.187842,0.221527,-1.85894,-1.89183,-1.85894,-1.82438,0.571028,0.543971,0.571028,0.613232,2.08072,2.03622,2.08072,2.43037,-9999,-9999
20010128,-3.976,0.0,188.954,30.514,0.0,296.956,0.0,0.226,0.0,98.003,0.0,4.852,0.0,2.453,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.2498,0.0,86.2736,-9999,-9999,-9999,66.4231,0.0,83.9645,-9999,-9999,-9999,1.43386,0.0,-9999,1.37361,1.43386,1.44698,0.0,0.0,0.0,0.386932,0.359037,0.363195,0.417538,-1.06484,-1.07482,-1.02944,-1.01042,0.95875,0.921156,0.95875,0.985303,1.038,0.993686,1.01591,1.038,-9999,-9999
20010129,-2.965,0.0,191.021,12.922,0.0,307.777,0.0,0.0,0.0,95.975,0.0,21.537,0.0,3.343,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.1744,0.0,96.2059,-9999,-9999,-9999,53.264,0.0,66.3991,-9999,-9999,-9999,1.56915,0.0,-9999,1.54493,1.56915,1.58852,0.0,0.0,0.0,0.443092,0.412821,0.417341,0.476162,-1.14543,-1.17925,-1.14442,-1.12758,1.05983,1.02046,1.05486,1.07762,0.576504,0.504017,0.564265,0.576504,-9999,-9999
20010130,-2.618,0.0,193.133,58.379,0.0,301.221,0.0,0.091,0.0,95.519,0.0,1.497,0.0,7.285,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.1269,0.0,87.4236,-9999,-9999,-9999,54.0872,0.0,66.4797,-9999,-9999,-9999,2.06919,0.0,-9999,2.01222,2.06137,2.06919,0.0,0.0,0.0,0.464536,0.433459,0.438103,0.498435,-1.59683,-1.62566,-1.59683,-1.552,1.09682,1.05688,1.08706,1.11097,1.49235,1.46051,1.49235,1.56032,-9999,-9999
20010131,-4.286,0.0,195.287,123.09,0.0,240.388,0.0,0.423,0.0,97.507,0.0,0.006,0.0,5.681,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.2498,0.0,83.8013,-9999,-9999,-9999,66.4231,0.0,81.5583,-9999,-9999,-9999,1.43386,0.0,-9999,1.37361,1.43386,1.44698,0.0,0.0,0.0,0.376008,0.348828,0.352879,0.40585,-1.07576,-1.08503,-1.04113,-1.02073,0.934805,0.897895,0.934805,0.962203,2.04704,2.00327,2.04704,2.35854,-9999,-9999
20010201,-14.194,0.0,197.485,133.252,0.0,210.815,0.0,0.0,0.0,98.535,0.0,2.82,0.0,5.113,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.1744,0.0,93.4102,-9999,-9999,-9999,53.264,0.0,64.4696,-9999,-9999,-9999,1.56915,0.0,-9999,1.54493,1.56915,1.58852,0.0,0.0,0.0,0.0822098,0.0734974,0.0747737,0.092174,-1.50631,-1.50971,-1.49566,-1.47015,0.285755,0.268728,0.285755,0.319875,2.08662,2.04199,2.08662,2.42825,-9999,-9999
